Intervalo 0
esper -> 0.014691055739593836

Intervalo 13
tao -> 0.010076130765785939
olh -> 0.010076130765785939
tt -> 0.010076130765785939
boc -> 0.010300044782803403
#copasolid -> 0.010300044782803403
pi -> 0.010300044782803403
mand -> 0.010300044782803403
rob -> 0.01052395879982087
bor -> 0.01052395879982087
precis -> 0.01052395879982087
da -> 0.01052395879982087
pipoc -> 0.010747872816838333
nad -> 0.010747872816838333
qu -> 0.010747872816838333
pq -> 0.010747872816838333
parec -> 0.010747872816838333
mick -> 0.010747872816838333
jagg -> 0.010747872816838333
cal -> 0.0109717868338558
@ivetesangalo -> 0.0109717868338558
sab -> 0.011195700850873265
continu -> 0.011195700850873265
dess -> 0.01141961486789073
vc -> 0.01141961486789073
#torcidaivet -> 0.011643528884908196
3 -> 0.011643528884908196
y -> 0.01186744290192566
sig -> 0.01186744290192566
futebol -> 0.01186744290192566
tom -> 0.012091356918943126
diss -> 0.012091356918943126
boa -> 0.012315270935960592
hex -> 0.012315270935960592
gan -> 0.012539184952978056
twitt -> 0.012539184952978056
vez -> 0.012763098969995522
hor -> 0.012763098969995522
assim -> 0.012987012987012988
vend -> 0.013210927004030452
junt -> 0.013210927004030452
pass -> 0.013434841021047918
car -> 0.013658755038065382
lev -> 0.013658755038065382
go -> 0.013658755038065382
ter -> 0.013658755038065382
eh -> 0.013882669055082848
tud -> 0.013882669055082848
lind -> 0.013882669055082848
bande -> 0.014106583072100314
camis -> 0.014106583072100314

Intervalo 14
dess -> 0.010091743119266056
bast -> 0.010091743119266056
da -> 0.01035386631716907
marc -> 0.01035386631716907
reag -> 0.010484927916120577
ah -> 0.010484927916120577
fud -> 0.010484927916120577
bor -> 0.010615989515072083
y -> 0.010615989515072083
minut -> 0.010747051114023591
car -> 0.010747051114023591
culp -> 0.010878112712975098
par -> 0.011140235910878113
pq -> 0.011271297509829619
tao -> 0.011271297509829619
plac -> 0.011533420707732634
aqu -> 0.011795543905635648
mund -> 0.011926605504587157
cop -> 0.011926605504587157
p -> 0.011926605504587157
ate -> 0.012057667103538663
bom -> 0.012319790301441678
hor -> 0.012319790301441678
pqp -> 0.012319790301441678
pipoc -> 0.012319790301441678
ness -> 0.012450851900393184
acab -> 0.012581913499344692
ne -> 0.012712975098296199
outr -> 0.012712975098296199
s -> 0.012844036697247707
vir -> 0.01310615989515072
cim -> 0.013237221494102228
juiz -> 0.013237221494102228
go -> 0.013368283093053735
tir -> 0.01363040629095675
voc -> 0.013761467889908258
assim -> 0.013892529488859764
ter -> 0.01402359108781127
comec -> 0.014285714285714285
vc -> 0.014416775884665793
deu -> 0.014678899082568808
el -> 0.014809960681520315
fif -> 0.015203145478374836
deix -> 0.015334207077326344
@fifacom -> 0.015596330275229359
laranj -> 0.015596330275229359
a9kvrq -> 0.01585845347313237
bem -> 0.01598951507208388
segund -> 0.016120576671035388
tud -> 0.016251638269986893

Intervalo 15
precis -> 0.010140759800211896
#brasil -> 0.010140759800211896
fiz -> 0.010140759800211896
migr -> 0.010292114424095656
gost -> 0.010292114424095656
dess -> 0.010292114424095656
cim -> 0.010292114424095656
tud -> 0.010443469047979416
laranj -> 0.010443469047979416
atrapalh -> 0.010594823671863176
da -> 0.010746178295746934
clar -> 0.010897532919630694
car -> 0.011048887543514454
lo -> 0.011200242167398214
bom -> 0.011200242167398214
menos -> 0.011200242167398214
assim -> 0.011351596791281974
acredit -> 0.011351596791281974
lev -> 0.011351596791281974
tav -> 0.011502951415165732
ces -> 0.011502951415165732
bor -> 0.011502951415165732
2x1 -> 0.011502951415165732
ne -> 0.011654306039049492
culp -> 0.011654306039049492
hoj -> 0.011957015286817013
y -> 0.011957015286817013
pq -> 0.011957015286817013
comec -> 0.01225972453458453
minut -> 0.01225972453458453
bit -> 0.01256243378235205
s -> 0.013016497654003329
feri -> 0.013016497654003329
aqu -> 0.013167852277887089
galv -> 0.013319206901770849
tao -> 0.013319206901770849
juli -> 0.013470561525654609
ly -> 0.013621916149538369
ter -> 0.013773270773422127
p -> 0.013924625397305887
voc -> 0.014075980021189647
go -> 0.014227334645073407
dar -> 0.014227334645073407
assist -> 0.014378689268957167
nad -> 0.014378689268957167
cad -> 0.014378689268957167
bem -> 0.014681398516724686
part -> 0.014832753140608446
pass -> 0.014832753140608446
selec -> 0.014832753140608446

Intervalo 16
med -> 0.010101010101010102
@zecsinho -> 0.010261343594676928
final -> 0.010261343594676928
lo -> 0.010261343594676928
bobe -> 0.010421677088343755
cas -> 0.010421677088343755
da -> 0.010421677088343755
vao -> 0.010582010582010581
juiz -> 0.01074234407567741
sei -> 0.01074234407567741
camp -> 0.010902677569344236
nad -> 0.010902677569344236
merd -> 0.010902677569344236
poi -> 0.011063011063011063
bor -> 0.011063011063011063
gan -> 0.01122334455667789
cim -> 0.01122334455667789
precis -> 0.011383678050344717
1x1 -> 0.011544011544011544
acab -> 0.011544011544011544
dess -> 0.01170434503767837
pass -> 0.011864678531345199
dar -> 0.011864678531345199
@dulcemaria -> 0.011864678531345199
vir -> 0.011864678531345199
rob -> 0.012025012025012025
empat -> 0.012025012025012025
tao -> 0.012185345518678852
assist -> 0.012185345518678852
comec -> 0.012666345999679333
go -> 0.012666345999679333
ne -> 0.012666345999679333
car -> 0.012666345999679333
gost -> 0.01282667949334616
tud -> 0.012987012987012988
fif -> 0.012987012987012988
pq -> 0.013147346480679814
s -> 0.013307679974346641
coraca -> 0.013307679974346641
